Q,label
헬로우,0
헬로,0
안부 인사드립니다.,0
먼저 인사하려고 했는데 짝남이 먼저 인사해줬어. 더 떨렸겠어요.,0
먼저 인사할까 했는데 짝녀가 먼저 인사해줬어. 기분 좋았겠네요.,0
각자 집에 인사드리러 가 제가 더 떨리네요.,0
이별의 마무리 가벼운 안부 인사일 거예요.,0
용기내서 새해인사 했네 이제 연락하지 마세요.,0
오늘 마지막 인사를 하러가네 미련없길 바랄게요.,0
오늘 마지막 인사하러 갑니다. 미련없이 정리했긴 바랍니다.,0
내 마음에 마지막 인사 마음이랑 잘 인사해요.,0
먼저 잘게 잘자 안녕히 주무세요.,0
진짜 이제 안녕 맘고생 많았어요.,0
잘가 안녕.,0
이제 진짜 안녕!! 안녕!,0
안뇽,0
이젠 진짜 진짜 안녕 맘 고생 많았어요.,0
안녕을 고하며 잘 보내주었나요.,0
안녕하세 안녕하세요.,0
안녕하세요,0
반가워요,0
반가반가,0
방가방가,0
하이,0
안녕,0
좋은 아침이야,0
진짜 반갑다,0
요즘 어떻게 지냈어요?,0
잘 지냈습니까?,0
잘지내지?,0
만나서 반가워요,0
만나서 반갑습니다,0
하이루,0
반갑,0
잘지냈어요?,0
잘지냈어?,0
나 먼저 잘게 안녕히 주무세요.,0
안녕히 주무세요.,0
안녕 안녕하세요.,0
안녕안녕 안녕하세요.,2
안녕하세요 안녕하세요.,0
안뇽 안녕하세요.,0
ㅎㅇ,0
ㅎㅇㅎㅇ,0
hi,0
Hi,0
안뇨오오오옹,0
히사시부리,0
만반잘부,0
만반,0
안녀엉,0
하이용,0
하이이,0
반갑습니다,0
반갑다네,0
히읗이응,0
안녕쓰,0
하이쓰,0
하이다요,0
안녕화살법,0
안녕하신가,0
안녕하니,0
반갑니,0
만나서 반가워요 잘 부탁드려요,0
만나서 방가방가,0
ㅎㅇ안녕,0
ㅎㅇㅎㅇ안녕,0
안녕하세요 주문하고싶은데요,0
안녕 주문좀,0
포장,1
ㅍㅈ,1
싸이버거 포장,1
포장해주세요,1
포장주문이요,1
포장 부탁,1
포장해줄래?,1
포장원해요,1
포장 주문 받아줘,1
포장 가능?,1
싸이버거 포장 주문,1
싸이 1개 포장,1
싸이 포장할래,1
싸이버거 포장 부탁,1
싸이버거 포오오오오장 ,1
싸이버거 포장 한다,1
포장 싸이버거 한개,1
싸이버거 1개 포장해주세요,1
햄버거 포장이요,1
포장이요,1
포장 부탁쓰,1
포장 플리즈,1
포장해서 줘,1
포장 가능한가요?,1
싸이 포장 주문,1
싸이 포장할게,1
포장해갈게,1
찾으러갈게,1
포장해서 준비해주세요,1
싸이버거 매장으로 찾으러 갈게요,1
매장으로 찾으러 감,1
찾으러 감,1
찾아감,1
찾아갈거야,1
매장으로 찾으러 갈거야,1
싸이버거 찾으러 갈게요,1
직접 가져갈게요,1
가지러 갈게요,1
가질러가요,1
테이크 아웃 ,1
테이크 아웃으로 준비 해주세요,1
테잌 아웃 해갈게요,1
싸이버거 테이크 아웃,1
싸이버거 가지러 감,1
싸이버거 방문 수령,1
수령하러 갈게요,1
수령,1
수령할거야,1
싸이버거 수령하러 감,1
수령 주문 가능?,1
방문 주문 가능?,1
테이크 아웃 주문 가능?,1
테이크 아웃 가능?,1
테이크아웃 하고 싶어요,1
방문 포장 하고싶어요,1
찾으러 가고 싶어요,1
가지러 가고 싶어요,1
가지러가는  가능한가요?,1
가지러 가고 싶은데 가능?,1
포장 주문 가능한가요?,1
찾으러 갈게요 빨리 준비해주세요,1
가지러 갈게요 빨리 준비해주세요,1
가지러 갈건데 금방 가요,1
받으러 갈게요,1
싸이버거 1개 받으러 갈게요,1
딥치즈버거 찾으러 갈게요,1
딥치즈 받으러 감,1
딥치즈 테이크 아웃 ,1
테이크 아웃 딥치즈 1개,1
딥치즈 방문 포장 ,1
방문해서 찾아 갈래요,1
딥치즈 수령하러 갈게요,1
수령 주문 ,1
수령한다,1
받으러 간다,1
받아갈거야,1
받음,1
포장할거야,1
포장으로 부탁,1
딥치즈 포장 주문,1
딥치즈 포장해갈게,1
딥치즈 포장으로 부탁해,1
딥치즈버거 테이크 아웃,1
테이크아웃 할건데 딥치즈한개,1
딥치즈한개 찾으러 갈게요,1
찾을거에요,1
직접 가서 받을게요,1
직접 갈건데 싸이버거 한개 준비해주세요,1
테이크 아웃 할건데 싸이버거 두개 준비해주세요,1
포장 주문이고 싸이버거 세개요,1
포장으로 ,1
매장으로 테이크 아웃이요,1
매장으로 테이크 아웃,1
12시까지 준비해주세요,1
한시까지 준비해주세요,1
한시가지 찾으러 갈게요,1
한시까지 받으러 갈게요,1
열두시까지 갈게요,1
내일까지 찾으러 갈게요,1
내일까지 방문할게요,1
내일 방문함,1
내일 찾으러 감,1
오늘 찾으러 감,1
오늘 수령하러 가요,1
오늘 받으러 갈게요,1
오늘 테이크 아웃 할거에요,1
오늘 포장해 갈게요,1
오늘 포장할 거에요,1
오늘 포장 주문이요,1
내일 포장 주문인데요,1
내일 포장 가능한가요?,1
이따 찾으러 갈게요,1
이따 방문할게요,1
이따가 방문할건데요,1
이따가 포장해갈건데요,1
이따가 포장 주문,1
이따 테이크 아웃할게요,1
싸이버거 한개 이따 찾으러 갈게요,1
싸이버거 한개 테이크 아웃 할게요,1
딥치즈버거 두개 방문해서 찾아갈게요,1
이따가 가지러 갈게요,1
이따 가지러 감,1
내일꺼 포장해주세요,1
내일 찾으러 갈게요,1
싸이버거 포장해주세요,1
포장으로 싸이버거 1,1
포장 싸이버거 두개,1
싸이버거 두개 포장해주삼,1
포장해주삼,1
포장 부탁 드립니다.,1
포장해서 주세요,1
가지러 가게 포장해주세요,1
가지러 갈거니까 포장으로 해주세요,1
포장 주문 받아줘,1
방문할게요,1
방문 주문이요,1
싸이버거 두개 방문 주문,1
방문,1
딥치즈버거 한개 방문할게요,1
2시까지 준비해주세요,1
2시까지 방문할게요,1
직접 방문할게요,1
방문할건데요 두시까지 준비해주세요,1
딥치즈버거 방문 주문,1
3시까지 테이크 아웃 가능?,1
3시까지 테이크 아웃 가능한가요?,1
3시까지 찾으러 가도 될까요?,1
내일까지 방문해도 될까요?,1
이따 방문해도 될까요?,1
이따 찾으러 가도 되나요?,1
찾으러 가도 되나요?,1
방문해도 되나요?,1
포장 방문 되나요?,1
테이크 아웃해도 될까요?,1
찾으러 가도 괜찮을까요?,1
포장 문의하고 드립니다,1
포장 주문 받아줘,1
방문 주문 받아줘,1
테이크아웃 주문 받아줘,1
포장 ㄱㄱ,1
포장으로 ㄱ,1
포장으로 ㄱㄱ,1
방문 ㄱㄱ,1
테이크아웃ㄱㄱ,1
포장하고파,1
포장할꾸야,1
포장해갈꾸여,1
찾으러 갈꾸야,1
방문할꾸야,1
포장 선택,1
포장으로 선택,1
방문으로 선택,1
방문 선택,1
방문한다!,1
포장한다!,1
포장으로 한다!,1
찾으러 간다!,1
테이크아웃 할거다!,1
싸이버거 준비해줘!,1
딥치즈버거 포장해줘!,1
포장해줘,1
가지러 감,1
가지러 갈거에요,1
싸이버거 한개 가지러 갈게요,1
딥치즈버거 가지러 갈게요,1
딥치즈 가질러 감,1
가질러 가요,1
가질러 갈게요,1
16시까지 테이크아웃 할래요,1
저.. 통새우버거 한개 포장하고 싶은데요,1
화이트갈릭버거 한개 포장이요!!,1
화이트갈릭버거 한개 포장하고 싶어요,1
싸이버거 1개 받으러 이따 갈게요,1
인크레더블버거 한개 통새우버거 두개 포장이요,1
인크레더블버거 한개 포장하고 싶어서요,1
인크레더블버거 1개 포장해주세요,1
통새우버거 한개 포장할래요,1
싸이버거 한개 인크레더블버거 한개 포장이요,1
이따 찾으러 갈게요!!,1
싸이버거 한개 이따가 받으러 갈게요,1
통새우버거 한개 포장하고 싶어요,1
통새우버거 한개 인크레더블버거 두개 포장이요,1
인크레더블버거 1개 이따 찾으러 갈게요,1
딥치즈버거 한개 화이트갈릭버거 한개 포장이요,1
통새우버거 한개 받으러 이따 가져갈게요,1
통새우버거 1개 포장할래요!!,1
테이크아웃할게요,1
딥치즈버거 한개 포장 방문할게요,1
화이트갈릭버거 1개 이따 찾으러 갈게요!!,1
싸이버거 한개 가져갈게요,1
딥치즈버거 1개 가지러갈래요,1
싸이버거 1개 포장할래요,1
화이트갈릭버거 1개 포장하고 싶어요,1
네시까지 테이크아웃 가능한가요?,1
화이트갈릭버거 1개 포장 방문할게요,1
통새우버거 1개 화이트갈릭버거 1개 포장이요,1
통새우버거 1개 포장 가능한가요?,1
이따가 받으러 갈게요,1
가지러 갈게요!!,1
인크레더블버거 한개 이따가 가지러 갈게요,1
통새우버거 1개 태이크아웃할게요,1
인크레더블버거 한개 이따가 받으러 갈게요,1
테이크아웃 할래요!!,1
딥치즈버거 한개 인크레더블버거 한개 포장이요,1
9시까지 갈게요,1
딥치즈버거 한개 이따가 찾으러 갈게요,1
인크레더블버거 한개 포장해주세요,1
통새우버거 1개 이따 가지러 갈게요,1
화이트갈릭버거 1개 통새우버거 1개 포장이요,1
통새우버거 한개 포장하겠습니다,1
딥치즈버거 1개 포장하고 싶어서요!!,1
여덟시까지 가면 될까요?,1
화이트갈릭버거 1개 받으러 이따 가져갈게요!!,1
싸이버거 1개 이따가 받으러 갈게요,1
인크레더블버거 한개 포장 방문할게요,1
인크레더블버거 한개 이따 갈게요!!,1
1시까지 테이크아웃 가능한가요?,1
인크레더블버거 1개 찾으러 갈게요!!,1
싸이버거 한개 포장하고 싶어요,1
딥치즈버거 1개 이따가 가져갈게요,1
싸이버거 한개 이따가 가져갈게요,1
통새우버거 한개 포장이요!!,1
딥치즈버거 한개 포장이요!!,1
인크레더블버거 한개 테이크아웃 할래요!!,1
두시까지 테이크아웃 할래요,1
딥치즈버거 한개 방문 포장할게요,1
싸이버거 1개 가지러갈래요!!,1
싸이버거 한개 가지러 갈게요!!,1
화이트갈릭버거 1개 주문,1
20시까지 준비해주세요,1
18시까지 테이크아웃 할래요,1
통새우버거 1개 포장으로 선택,1
딥치즈버거 1개 포장,1
인크레더블버거 한개 싸이버거 한개 포장이요,1
인크레더블버거 1개 포장부탁드립니다,1
싸이버거 한개 이따 찾으러 갈게요,1
인크레더블버거 한개 포장하고 싶어요,1
딥치즈버거 한개 받으러 이따 가져갈게요!!,1
인크레더블버거 1개 가져갈게요!!,1
화이트갈릭버거 1개 가지러 갈게요!!,1
싸이버거 한개 테이크아웃 할래요,1
통새우버거 1개 포장이요!!,1
싸이버거 한개 이따 갈게요,1
열한시까지 테이크아웃 할래요,1
인크레더블버거 1개 포장하고 싶어서요,1
인크레더블버거 1개 가지러 갈게요!!,1
저.. 인크레더블버거 한개 포장하고 싶은데요,1
화이트갈릭버거 한개 태이크아웃할게요,1
이따 가지러 갈게요,1
화이트갈릭버거 한개 받으러 이따 가져갈게요!!,1
인크레더블버거 한개 포장이요!!,1
13시까지 테이크아웃 할래요,1
17시까지 테이크아웃 할래요,1
딥치즈버거 한개 이따 가지러 갈게요,1
통새우버거 한개 포장할게요!!,1
여덟시까지 준비해주세요,1
화이트갈릭버거 1개 가져갈게요!!,1
4시까지 테이크아웃 가능한가요?,1
23시까지 갈게요,1
화이트갈릭버거 1개 가지러갈래요!!,1
아홉까지 준비해주세요,1
화이트갈릭버거 한개 포장할게요,1
싸이버거 1개 딥치즈버거2개 포장이요,1
싸이버거 한개 이따 받으러 갈게요,1
통새우버거 1개 테이크아웃 할래요!!,1
통새우버거 1개 딥치즈버거 1개 포장이요,1
통새우버거 한개 가지러 갈게요,1
화이트갈릭버거 한개 인크레더블버거 한개 포장이요,1
인크레더블버거 1개 테이크아웃 하겠습니다,1
화이트갈릭버거 한개 찾으러 갈게요,1
찾으러 갈게요,1
17시까지 테이크아웃 가능한가요?,1
인크레더블버거 한개 포장 가능한가요?,1
인크레더블버거 한개 통새우버거 한개 포장이요,1
통새우버거 1개 인크레더블버거 1개 포장이요,1
화이트갈릭버거 한개 이따 받으러 갈게요,1
딥치즈버거 한개 이따가 찾으러 갈게요,1
인크레더블버거 1개 딥치즈버거 1개 포장이요,1
통새우버거 한개 받으러 이따 갈게요!!,1
화이트갈릭버거 한개 이따 찾으러 갈게요,1
6시까지 가면 될까요?,1
통새우버거 한개 주문할게요,1
싸이버거 한개 이따 받으러 갈게요!!,1
통새우버거 한개 가지러갈래요,1
인크레더블버거 1개 이따가 받으러 갈게요,1
딥치즈버거 한개 이따가 받으러 갈게요,1
통새우버거 1개 이따가 찾으러 갈게요,1
이따 받으러 갈게요,1
4시까지 갈게요,1
싸이버거 1개 포장할래요!!,1
인크레더블버거 1개 화이트갈릭버거 2개 포장이요,1
통새우버거 1개 포장할래요,1
싸이버거 1개 포장할게요,1
화이트갈릭버거 한개 가지러갈래요,1
싸이버거 1개 이따 받으러 갈게요!!,1
22시까지 준비해주세요,1
17시까지 갈게요,1
화이트갈릭버거 한개 이따가 찾으러 갈게요,1
통새우버거 1개 싸이버거 1개 포장이요,1
통새우버거 한개 테이크아웃할게요,1
통새우버거 1개 이따 찾으러 갈게요!!,1
딥치즈버거 한개 받으러 이따 갈게요,1
딥치즈버거 한개 이따 갈게요!!,1
싸이버거 한개 인크레더블버거 두개 포장이요,1
16시까지 가면 될까요?,1
14시까지 준비해주세요,1
화이트갈릭버거 1개 받으러 갈게요!!,1
화이트갈릭버거 한개 포장하겠습니다,1
화이트갈릭버거 1개 테이크아웃 하겠습니다!!,1
딥치즈버거 한개 포장하고 싶어요,1
싸이버거 한개 포장으로 선택,1
포장해주세요,1
통새우버거 한개 찾으러 갈게요,1
통새우버거 한개 이따 갈래요!!,1
인크레더블버거 한개 이따 가져갈게요,1
3시까지 갈게요,1
화이트갈릭버거 한개 포장으로 선택,1
1시까지 테이크아웃 할래요,1
싸이버거 1개 이따 가지러 갈게요,1
인크레더블버거 1개 가지러 갈게요,1
21시까지 준비해주세요,1
딥치즈버거 1개 싸이버거 2개 포장이요,1
싸이버거 한개 화이트갈릭버거 두개 포장이요,1
싸이버거 한개 이따 갈래요,1
20시까지 갈게요,1
인크레더블버거 1개 주문할게요,1
통새우버거 한개 이따가 받으러 갈게요,1
인크레더블버거 1개 이따 가져갈게요,1
열한시까지 테이크아웃 가능한가요?,1
딥치즈버거 1개 가져갈게요!!,1
화이트갈릭버거 한개 포장할래요,1
싸이버거 한개 딥치즈버거 한개 포장이요,1
통새우버거 한개 가지러갈래요!!,1
통새우버거 1개 포장하겠습니다,1
통새우버거 1개 받으러 이따 갈게요,1
화이트갈릭버거 한개 가지러 갈게요,1
통새우버거 한개 딥치즈버거 한개 포장이요 ,1
싸이버거 1개 딥치즈버거 1개 포장이요,1
딥치즈버거 1개 포장하고 싶어요!!,1
화이트갈릭버거 한개 통새우버거 한개 포장이요,1
딥치즈버거 1개 테이크아웃 하겠습니다!!,1
싸이버거 1개 화이트갈릭버거 1개 포장이요,1
21시까지 테이크아웃 할래요,1
딥치즈버거 한개 포장 방문할게요!!,1
화이트갈릭버거 한개 요청할게요,1
통새우버거 한개 이따 갈게요!!,1
인크레더블버거 1개 이따 받으러가겠습니다,1
화이트갈릭버거 1개 딥치즈버거 1개 포장이요,1
통새우버거 1개 인크레더블버거 2개 포장이요,1
화이트갈릭버거 1개 주문할게요,1
딥치즈버거 한개 포장할게요,1
싸이버거 1개 이따 갈게요!!,1
다섯시까지 준비해주세요,1
딥치즈버거 한개 이따가 가지러 갈게요,1
딥치즈버거 1개 요청할게요,1
5시까지 준비해주세요,1
딥치즈버거 1개 찾으러 갈게요,1
인크레더블버거 1개 포장하고 싶어서요!!,1
딥치즈버거 1개 포장이요!!,1
화이트갈릭버거 한개 포장,1
딥치즈버거 1개 가지러갈래요!!,1
싸이버거 1개 통새우버거 1개 포장이요,1
통새우버거 1개 포장하고 싶어요,1
화이트갈릭버거 한개 주문,1
화이트갈릭버거 1개 이따가 받으러 갈게요,1
인크레더블버거 1개 테이크아웃 할게요,1
1시까지 가면 될까요?,1
딥치즈버거 한개 테이크아웃 하겠습니다!!,1
인크레더블버거 1개 방문 포장할게요,1
한시까지 갈게요,1
두시까지 갈게요,1
저.. 화이트갈릭버거 한개 포장하고 싶은데요,1
화이트갈릭버거 한개 가지러갈래요!!,1
화이트갈릭버거 1개 싸이버거 1개 포장이요,1
싸이버거 1개 포장하고 싶어서요,1
6시까지 갈게요,1
통새우버거 한개 받으러 이따 가져갈게요!!,1
싸이버거 한개 이따 찾으러 갈게요!!,1
화이트갈릭버거 1개 이따가 찾으러 갈게요,1
12시까지 테이크아웃 가능한가요?,1
5시까지 가면 될까요?,1
통새우버거 1개 포장할게요,1
통새우버거 1개 포장부탁드립니다,1
싸이버거 1개 포장하겠습니다,1
싸이버거 1개 이따 찾으러 갈게요!!,1
딥치즈버거 1개 포장하고 싶어요,1
싸이버거 한개 이따가 찾으러 갈게요,1
싸이버거 한개 가져갈게요!!,1
딥치즈버거 1개 찾으러 갈게요!!,1
딥치즈버거 1개 이따 가지러 갈게요,1
인크레더블버거 한개 포장하겠습니다,1
딥치즈버거 한개 테이크아웃 할래요,1
인크레더블버거 한개 포장할게요,1
13시까지 테이크아웃 가능한가요?,1
인크레더블버거 1개 포장 가능한가요?,1
10시까지 준비해주세요,1
화이트갈릭버거 1개 찾으러 갈게요,1
이따 갈게요!!,1
통새우버거 한개 이따가 받으러 갈게요,1
인크레더블버거 1개 통새우버거 1개 포장이요,1
싸이버거 1개 포장 방문할게요!!,1
23시까지 준비해주세요,1
다섯시까지 갈게요,1
통새우버거 한개 이따가 찾으러 갈게요,1
딥치즈버거 한개 화이트갈릭버거 두개 포장이요,1
딥치즈버거 한개 요청,1
인크레더블버거 한개 이따가 가져갈게요,1
인크레더블버거 1개 이따 받으러 갈게요,1
딥치즈버거 1개 통새우버거 1개 포장이요,1
딥치즈버거 한개 포장할래요,1
포장하고 싶어요,1
통새우버거 1개 딥치즈버거 1개 포장이요 ,1
통새우버거 1개 이따 갈래요!!,1
22시까지 갈게요,1
인크레더블버거 1개 포장할건데요,1
화이트갈릭버거 1개 싸이버거 2개 포장이요,1
화이트갈릭버거 한개 테이크아웃 할래요,1
화이트갈릭버거 1개 포장할래요!!,1
통새우버거 한개 싸이버거 한개 포장이요,1
싸이버거 한개 화이트갈릭버거 한개 포장이요,1
통새우버거 한개 화이트갈릭버거 한개 포장이요,1
통새우버거 1개 주문할게요,1
딥치즈버거 1개 이따 찾으러 갈게요!!,1
14시까지 테이크아웃 가능한가요?,1
딥치즈버거 한개 이따 갈래요!!,1
통새우버거 한개 이따 찾으러 갈게요,1
아홉까지 갈게요,1
3시까지 테이크아웃 가능한가요?,1
인크레더블버거 한개 이따가 받으러 갈게요,1
싸이버거 한개 테이크아웃 할게요,1
싸이버거 1개 요청,1
방문 포장할게요!!,1
8시까지 테이크아웃 할래요,1
화이트갈릭버거 1개 포장하고 싶어요!!,1
인크레더블버거 1개 포장하겠습니다,1
아홉까지 테이크아웃 할래요,1
싸이버거 한개 받으러 이따 갈게요!!,1
한시까지 준비해주세요,1
화이트갈릭버거 1개 방문 포장할게요!!,1
가져갈게요,1
인크레더블버거 1개 딥치즈버거 1개 포장이요,1
싸이버거 한개 포장할게요,1
화이트갈릭버거 한개 이따 갈게요!!,1
테이크아웃 하겠습니다,1
딥치즈버거 1개 포장으로 선택,1
이따 갈게요,1
통새우버거 1개 주문,1
테이크아웃 할게요,1
화이트갈릭버거 1개 이따 찾으러 갈게요,1
인크레더블버거 한개 요청할게요,1
딥치즈버거 1개 이따 받으러 갈게요!!,1
네시까지 테이크아웃 할래요,1
인크레더블버거 한개 포장 방문할게요!!,1
인크레더블버거 한개 포장하고 싶어요!!,1
두시까지 준비해주세요,1
2시까지 가면 될까요?,1
싸이버거 1개 가지러 갈게요!!,1
16시까지 갈게요,1
딥치즈버거 1개 포장부탁드립니다,1
열두시까지 갈게요,1
딥치즈버거 한개 이따 찾으러 갈게요,1
22시까지 테이크아웃 할래요,1
인크레더블버거 1개 통새우버거 2개 포장이요,1
화이트갈릭버거 1개 포장할래요,1
인크레더블버거 1개 받으러 이따 갈게요,1
인크레더블버거 1개 포장,1
통새우버거 한개 이따 받으러 갈게요!!,1
일곱시까지 가면 될까요?,1
포장하고 싶어요!!,1
20시까지 테이크아웃 가능한가요?,1
싸이버거 1개 화이트갈릭버거 2개 포장이요,1
딥치즈버거 한개 테이크아웃할게요,1
여섯시까지 테이크아웃 가능한가요?,1
21시까지 테이크아웃 가능한가요?,1
통새우버거 한개 이따 받으러 갈게요,1
화이트갈릭버거 한개 이따 찾으러 갈게요!!,1
통새우버거 1개 포장하고 싶어서요!!,1
통새우버거 한개 포장할래요!!,1
통새우버거 1개 요청,1
통새우버거 한개 이따 갈게요,1
세시까지 테이크아웃 할래요,1
인크레더블버거 1개 포장이요,1
싸이버거 한개 인크레더블버거 한개 포장이요,1
싸이버거 1개 테이크아웃 할래요!!,1
인크레더블버거 1개 이따 갈게요!!,1
싸이버거 1개 이따 갈래요!!,1
통새우버거 한개 이따 가져갈게요,1
인크레더블버거 한개 받으러 갈게요,1
딥치즈버거 한개 싸이버거 한개 포장이요,1
통새우버거 한개 포장하고 싶어서요,1
3시까지 가면 될까요?,1
화이트갈릭버거 한개 포장할건데요,1
통새우버거 1개 이따가 찾으러 갈게요,1
화이트갈릭버거 한개 받으러 갈게요,1
인크레더블버거 1개 테이크아웃 하겠습니다!!,1
인크레더블버거 1개 포장할게요!!,1
통새우버거 1개 화이트갈릭버거 2개 포장이요,1
화이트갈릭버거 한개 포장할래요!!,1
받으러 갈게요!!,1
화이트갈릭버거 1개 테이크아웃 할게요,1
인크레더블버거 한개 딥치즈버거 한개 포장이요,1
통새우버거 1개 포장,1
인크레더블버거 1개 이따가 가져갈게요,1
19시까지 테이크아웃 가능한가요?,1
8시까지 갈게요,1
화이트갈릭버거 한개 테이크아웃 할래요!!,1
싸이버거 한개 통새우버거 한개 포장이요,1
11시까지 가면 될까요?,1
24시까지 테이크아웃 할래요,1
저.. 딥치즈버거 한개 포장하고 싶은데요,1
화이트갈릭버거 1개 포장으로 선택,1
12시까지 가면 될까요?,1
딥치즈버거 1개 포장 방문할게요!!,1
싸이버거 1개 포장부탁드립니다,1
딥치즈버거 한개 이따가 가지러 갈게요,1
딥치즈버거 1개 이따 받으러 갈게요,1
일곱시까지 갈게요,1
딥치즈버거 한개 테이크아웃 할래요!!,1
딥치즈버거 1개 포장할게요,1
통새우버거 1개 테이크아웃할게요,1
싸이버거 1개 인크레더블버거 1개 포장이요,1
통새우버거 한개 주문,1
싸이버거 1개 테이크아웃 할래요,1
딥치즈버거 한개 찾으러 갈게요,1
통새우버거 1개 받으러 이따 갈게요!!,1
딥치즈버거 한개 받으러 갈게요,1
11시까지 테이크아웃 가능한가요?,1
통새우버거 1개 포장할게요!!,1
세시까지 준비해주세요,1
12시까지 테이크아웃 할래요,1
딥치즈버거 1개 이따 갈게요,1
화이트갈릭버거 한개 받으러 이따 가져갈게요,1
싸이버거 한개 포장 방문할게요!!,1
딥치즈버거 1개 싸이버거 1개 포장이요,1
여섯시까지 가면 될까요?,1
통새우버거 한개 화이트갈릭버거 두개 포장이요,1
싸이버거 1개 받으러 이따 가져갈게요!!,1
15시까지 테이크아웃 할래요,1
7시까지 갈게요,1
화이트갈릭버거 1개 인크레더블버거 1개 포장이요,1
인크레더블버거 한개 방문 포장할게요!!,1
인크레더블버거 한개 받으러 이따 가져갈게요,1
포장할게요!!,1
포장으로 선택,1
19시까지 준비해주세요,1
딥치즈버거 한개 이따 가져갈게요,1
18시까지 테이크아웃 가능한가요?,1
딥치즈버거 1개 받으러 이따 가져갈게요,1
인크레더블버거 한개 가져갈게요!!,1
싸이버거 한개 이따 가져갈게요,1
통새우버거 한개 이따가 찾으러 갈게요,1
열한시까지 갈게요,1
인크레더블버거 한개 딥치즈버거 한개 포장이요,1
인크레더블버거 1개 이따 찾으러 갈게요!!,1
통새우버거 1개 찾으러 갈게요!!,1
딥치즈버거 한개 받으러 이따 가져갈게요,1
일곱시까지 테이크아웃 가능한가요?,1
인크레더블버거 1개 방문 포장할게요!!,1
싸이버거 1개 요청,1
열시까지 가면 될까요?,1
인크레더블버거 1개 이따 가지러 갈게요,1
여섯시까지 준비해주세요,1
딥치즈버거 1개 이따가 받으러 갈게요,1
저.. 싸이버거 1개 포장하고 싶은데요,1
딥치즈버거 1개 통새우버거 2개 포장이요,1
인크레더블버거 1개 화이트갈릭버거 1개 포장이요,1
23시까지 테이크아웃 할래요,1
통새우버거 한개 이따 가지러 갈게요,1
화이트갈릭버거 한개 포장이요,1
딥치즈버거 한개 가지러 갈게요,1
싸이버거 한개 이따 받으러 갈게요,1
딥치즈버거 1개 이따 찾으러 갈게요,1
싸이버거 한개 방문 포장할게요!!,1
20시까지 테이크아웃 할래요,1
열시까지 준비해주세요,1
딥치즈버거 한개 가지러 갈게요!!,1
화이트갈릭버거 한개 이따가 받으러 갈게요,1
화이트갈릭버거 1개 이따가 가지러 갈게요,1
딥치즈버거 한개 가져갈게요!!,1
싸이버거 1개 인크레더블버거 2개 포장이요,1
여덟시까지 테이크아웃 가능한가요?,1
포장 방문할게요,1
10시까지 테이크아웃 할래요,1
4시까지 가면 될까요?,1
화이트갈릭버거 1개 이따 가져갈게요,1
15시까지 갈게요,1
싸이버거 1개 포장하고 싶어서요!!,1
싸이버거 1개 방문 포장할게요,1
다섯시까지 가면 될까요?,1
인크레더블버거 한개 받으러 이따 가져갈게요!!,1
싸이버거 한개 찾으러 갈게요,1
싸이버거 한개 이따 갈래요!!,1
포장하고 싶어서요!!,1
